ID,METER,FP1P,FP2P,FP3P,FP4P,SP1P,SP2P,SP3P,SP4P,FP1S,FP2S,FP3S,FP4S,SP1S,SP2S,SP3S,SP4S
133,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,LSL,LLSL,SSL
134,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,LSL,LSSL,SSL
135,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,LSL,SLSL,SSL
136,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,LSL,LLSL,SSL
137,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,SSL,LSSL,LL
138,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,SSL,SLSL,LL
139,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,SSL,LLSL,LL
140,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,SSL,LSSL,LL
141,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,SSL,SLSL,LL
142,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,SSL,LLSL,LL
143,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,SSL,LSSL,LL
144,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,SSL,SLSL,LL
145,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,SSL,LLSL,LL
155,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,LSL,LSSL,LL
156,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,LSL,SLSL,LL
157,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mofta'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,LSSL,LSL,LLSL,LL
158,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,LSL,LSSL,LL
159,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,LSL,SLSL,LL
160,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mafaa'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,SLSL,LSL,LLSL,LL
161,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,LSL,LSSL,LL
162,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,LSL,SLSL,LL
163,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fi'lo,mostaf'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,LS,LLSL,LSL,LLSL,LL
173,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,SSL,LSSL,LL
174,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,SSL,SLSL,LL
175,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,SSL,LLSL,LL
176,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,SSL,LSSL,LL
177,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,SSL,SLSL,LL
178,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,SSL,LLSL,LL
179,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,SSL,LSSL,LL
180,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,SSL,SLSL,LL
181,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,SSL,LLSL,LL
182,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,SSL,LSSL,SSL
183,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,SSL,SLSL,SSL
184,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,SSL,LLSL,SSL
185,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,SSL,LSSL,SSL
186,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,SSL,SLSL,SSL
187,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,SSL,LLSL,SSL
188,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,SSL,LSSL,SSL
189,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,SSL,SLSL,SSL
190,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,SSL,LLSL,SSL
191,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,LSL,LSSL,LL
192,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,LSL,SLSL,LL
193,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LSSL,LSL,LLSL,LL
194,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,LSL,LSSL,LL
195,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,LSL,SLSL,LL
196,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,SLSL,LSL,LLSL,LL
197,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,LSL,LSSL,LL
198,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,LSL,SLSL,LL
199,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSS,LLSL,LSL,LLSL,LL
200,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,LSL,LSSL,SSL
201,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,LSL,SLSL,SSL
202,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mofta'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LSSL,LSL,LLSL,SSL
203,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,LSL,LSSL,SSL
204,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,LSL,SLSL,SSL
205,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mafaa'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,SLSL,LSL,LLSL,SSL
206,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,LSL,LSSL,SSL
207,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,LSL,SLSL,SSL
208,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilo,mostaf'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSS,LLSL,LSL,LLSL,SSL
209,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,SSL,LSSL,LL
210,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,SSL,SLSL,LL
211,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,SSL,LLSL,LL
212,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mafaa'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,SLSL,LL,SLSL,SSL,LSSL,LL
213,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mafaa'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,SLSL,LL,SLSL,SSL,SLSL,LL
214,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mafaa'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,SLSL,LL,SLSL,SSL,LLSL,LL
215,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mostaf'ilon,fa'ilon,mofta'ilon,fi'lon,LSSL,SSL,SLSL,LL,LLSL,SSL,LSSL,LL
216,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mostaf'ilon,fa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,SLSL,LL,LLSL,SSL,SLSL,LL
217,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,SLSL,LL,LLSL,SSL,LLSL,LL
227,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,LSL,LSSL,LL
228,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,LSL,SLSL,LL
229,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mofta'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,SLSL,LL,LSSL,LSL,LLSL,LL
230,bassit_complete,mofta'ilon,fa'ilon,mafaa'ilon,fi'lon,mafaa'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,SLSL,LL,SLSL,LSL,LSSL,LL
