ID,METER,FP1P,FP1S,FP2P,FP2S,FP3P,FP3S,FP4P,FP4S,SP1P,SP1S,SP2P,SP2S,SP3P,SP3S,SP4P,SP4S
165,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
167,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
168,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
169,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolon,SLL
172,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL
175,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,fa'oolon,SLL
178,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,fa'oolon,SLL
181,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolon,SLL
184,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL
187,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,fa'oolon,SLL
190,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,fa'oolon,SLL
194,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
195,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
197,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
198,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
